ID,Comment,Cleaned_Comment,Lemmatized_Comment,Label
1093,The reason I watch movies for entertainment is BECAUSE I can’t read. The world is against me.,reason watch movies entertainment cant read world,reason watch movie entertainment cant read world,neutral
1094,the more i rewatch this the better it gets. perfection,rewatch better gets perfection,rewatch better get perfection,positive
1095,Oh my this was just incredible...,oh incredible,oh incredible,positive
1096,First watch of the decade has to be spectacular so I chose Parasite,first watch decade spectacular chose parasite,first watch decade spectacular chose parasite,positive
1097,"I'm unqualified to pronounce large-scale judgments concerning Korean cinema, as someone who doesn't live in Korea and thus is only exposed to what's deemed worthy of export. But being unqualified never stopped anyone from doing anything, and as such I feel pretty comfortable in pronouncing Korean filmmakers the world's current authority on the class narrative. Hailing from the Empire of Income Inequality, I have yet to see anything from modern American film that comes close to capturing the yawning chasm between the affluent and everyone else as what I see portrayed regularly in Korean movies, embodied by last year's Burning, and this year's Parasite.",im unqualified pronounce largescale judgments concerning korean cinema someone doesnt live korea thus exposed whats deemed worthy export unqualified never stopped anyone anything feel pretty comfortable pronouncing korean filmmakers worlds current authority class narrative hailing empire income inequality yet see anything modern american film comes close capturing yawning chasm affluent everyone else see portrayed regularly korean movies embodied last years burning years parasite,im unqualified pronounce largescale judgment concerning korean cinema someone doesnt live korea thus exposed whats deemed worthy export unqualified never stopped anyone anything feel pretty comfortable pronouncing korean filmmaker world current authority class narrative hailing empire income inequality yet see anything modern american film come close capturing yawning chasm affluent everyone else see portrayed regularly korean movie embodied last year burning year parasite,positive
1098,"I'm afraid I haven't seen Memories of Murder, but of the three Bong Joon-Ho films I've seen, this is, by far, my favorite. A main character keeps saying how metaphorical things are, and I'm fairly certain that the film, itself, is an allegory. This element of the film worked the best for me since a dissection of social classes couldn't be more needed. Just look to recent Chilean, Bolivian, and Brazilian protests for more proof.",im afraid havent seen memories murder three bong joonho films ive seen far favorite main character keeps saying metaphorical things im fairly certain film allegory element film worked best since dissection social classes couldnt needed look recent chilean bolivian brazilian protests proof,im afraid havent seen memory murder three bong joonho film ive seen far favorite main character keep saying metaphorical thing im fairly certain film allegory element film worked best since dissection social class couldnt needed look recent chilean bolivian brazilian protest proof,positive
1099,"Is there any other movie that covers as many genres as Parasite? Drama, dark comedy, thriller and horror, romance and mystery, it’s all there, blended, crafted and presented masterfully.",movie covers many genres parasite drama dark comedy thriller horror romance mystery blended crafted presented masterfully,movie cover many genre parasite drama dark comedy thriller horror romance mystery blended crafted presented masterfully,positive
1100,“They are nice because they are rich.”,nice rich,nice rich,positive
1101,"One moment that I always love in this is the walk home in the rain. The first time I saw this, I was still recovering from what had happened in the basement—an insane unravelling on a level I hadn’t seen before—but I had one thought. “I wish we’d seen this hike before.” I was being impacted by just how far down they go—I counted today, there are six different places they are shown descending—and wished we’d been shown it before, as it’s such a good visual metaphor. However, every time I’ve seen it since, I’m so glad that it waits until then to show you.",one moment always love walk home rain first time saw still recovering happened basementan insane unravelling level hadnt seen beforebut one thought wish wed seen hike impacted far goi counted today six different places shown descendingand wished wed shown good visual metaphor however every time ive seen since im glad waits show,one moment always love walk home rain first time saw still recovering happened basementan insane unravelling level hadnt seen beforebut one thought wish wed seen hike impacted far goi counted today six different place shown descendingand wished wed shown good visual metaphor however every time ive seen since im glad wait show,positive
1102,"Parasite is the most accurate title ever, because this actually lives like a parasite in my heart",parasite accurate title ever actually lives like parasite heart,parasite accurate title ever actually life like parasite heart,positive
1103,"Put this one when I'm bored or have nothing else to do and I'll enjoy myself. My favorite movie with ease, go (re)watch it!",put one im bored nothing else ill enjoy favorite movie ease go rewatch,put one im bored nothing else ill enjoy favorite movie ease go rewatch,negative
1104,"Don’t look down, stay where you are",dont look stay,dont look stay,neutral
1105,Masterpiece. Genre bending. With each and every viewing there’s something new to parcel out. Getting better and better every single time.,masterpiece genre bending every viewing theres something new parcel getting better better every single time,masterpiece genre bending every viewing there something new parcel getting better better every single time,positive
1106,I could watch this on repeat forever,could watch repeat forever,could watch repeat forever,neutral
1107,"Ki-taek: You know what kind of plan never fails? No plan. No plan at all. You know why? Because life cannot be planned. Look around you. Did you think these people made a plan to sleep in the sports hall with you? But here we are now, sleeping together on the floor. So, there's no need for a plan. You can't go wrong with no plans. We don't need to make a plan for anything. It doesn't matter what will happen next. Even if the country gets destroyed or sold out, nobody cares.",kitaek know kind plan never fails plan plan know life planned look around think people made plan sleep sports hall sleeping together floor theres need plan cant go wrong plans dont need make plan anything doesnt matter happen next even country gets destroyed sold nobody cares,kitaek know kind plan never fails plan plan know life planned look around think people made plan sleep sport hall sleeping together floor there need plan cant go wrong plan dont need make plan anything doesnt matter happen next even country get destroyed sold nobody care,positive
1108,istg I believe that tent was from ikea,istg believe tent ikea,istg believe tent ikea,neutral
1109,pizza delivery girl you will always be famous,pizza delivery girl always famous,pizza delivery girl always famous,positive
1110,"This film has no right to be as good as it is. Everything is just so perfectly crafted. From the genre bending, to the tightly written plot. From the meticulous direction, to the masterclass acting. From the symbolic representation of social power, to the ambiguity of its title.",film right good everything perfectly crafted genre bending tightly written plot meticulous direction masterclass acting symbolic representation social power ambiguity title,film right good everything perfectly crafted genre bending tightly written plot meticulous direction masterclass acting symbolic representation social power ambiguity title,positive
1111,"I'm finally giving ""Parasite"" the 5 stars out of 5. It's so intricate and familiar while also seeming like something very far away from me.",im finally giving parasite 5 stars 5 intricate familiar also seeming like something far away,im finally giving parasite 5 star 5 intricate familiar also seeming like something far away,positive
1112,"it’s very good. I mean, what else were you expecting me to say?",good mean else expecting say,good mean else expecting say,positive
1113,I was happily content watching the latest Netflix actioner one evening when my wife came back into the living room after putting our little man to sleep.,happily content watching latest netflix actioner one evening wife came back living room putting little man sleep,happily content watching latest netflix actioner one evening wife came back living room putting little man sleep,positive
1114,Actually very funny. Then VERY intense,actually funny intense,actually funny intense,positive
1115,"the twist happened and the only other person in the theatre yelled ""WHAT??""",twist happened person theatre yelled,twist happened person theatre yelled,neutral
1116,"Third watch, still golden. It’s quite interesting that when I watch this film with other people, they get disappointed by the end. Maybe I hyped the film too much...",third watch still golden quite interesting watch film people get disappointed end maybe hyped film much,third watch still golden quite interesting watch film people get disappointed end maybe hyped film much,positive
1117,"11:10am: With Letterboxd down for 30+ minutes, I was collecting my thoughts on how Bong Joon-ho’s masterpiece was masterfully crafted with just high class directing. Still to this day, I’m so bummed that I missed this 10/10 gem in theaters last year because it would’ve been one of the best theater experiences in my life if I were to be in a quiet, dark auditorium with a packed audience. It was kinda like me when I finally saw La La Land back in February 2017 in a nice and comfy theater with lots of film-goers there after a stressful day at college. Except with Parasite, I’m a college graduate and I don’t need to worry about countless of hard assignments from my college professors. I can go into any theater and get myself immersed into a movie with well-written characters and an intriguing plot without thinking too much about my hard-working life including my job and overall life. But, I still was able to get that cinematic feeling from home. Parasite is a true spectacle to behold for all you die-hard film enthusiasts out there.",1110am letterboxd 30 minutes collecting thoughts bong joonhos masterpiece masterfully crafted high class directing still day im bummed missed 1010 gem theaters last year wouldve one best theater experiences life quiet dark auditorium packed audience kinda like finally saw la la land back february 2017 nice comfy theater lots filmgoers stressful day college except parasite im college graduate dont need worry countless hard assignments college professors go theater get immersed movie wellwritten characters intriguing plot without thinking much hardworking life including job overall life still able get cinematic feeling home parasite true spectacle behold diehard film enthusiasts,1110am letterboxd 30 minute collecting thought bong joonhos masterpiece masterfully crafted high class directing still day im bummed missed 1010 gem theater last year wouldve one best theater experience life quiet dark auditorium packed audience kinda like finally saw la la land back february 2017 nice comfy theater lot filmgoers stressful day college except parasite im college graduate dont need worry countless hard assignment college professor go theater get immersed movie wellwritten character intriguing plot without thinking much hardworking life including job overall life still able get cinematic feeling home parasite true spectacle behold diehard film enthusiast,positive
1118,Seeing this movie on the IMAX screen was one of the neatest and most surreal experiences of my life. I would have never thought this would have been a timeline we lived in. Where this small little Bong Joon Ho film won Best Picture and is now being played on IMAX. It's just a reminder that good things do happen in this world.,seeing movie imax screen one neatest surreal experiences life would never thought would timeline lived small little bong joon ho film best picture played imax reminder good things happen world,seeing movie imax screen one neatest surreal experience life would never thought would timeline lived small little bong joon ho film best picture played imax reminder good thing happen world,positive
1119,"It is interesting to me that both Parasite and Us have through lines commenting on the naivety and ignorance of the upper class to the plight of those quite literally below the poverty line. Each film addresses the idea that a capitalist society creates a situation in which the poor must claw their way to the top through infighting in order to ascend, and both movies do so by way of a metaphor that puts the lower classes literally beneath the upper classes. There was a lot of thematic overlap that made for a really interesting double feature.",interesting parasite us lines commenting naivety ignorance upper class plight quite literally poverty line film addresses idea capitalist society creates situation poor must claw way top infighting order ascend movies way metaphor puts lower classes literally beneath upper classes lot thematic overlap made really interesting double feature,interesting parasite u line commenting naivety ignorance upper class plight quite literally poverty line film address idea capitalist society creates situation poor must claw way top infighting order ascend movie way metaphor put lower class literally beneath upper class lot thematic overlap made really interesting double feature,positive
1120,maybe the real parasite was the academy for snubbing park so-dam,maybe real parasite academy snubbing park sodam,maybe real parasite academy snubbing park sodam,positive
1121,A work of art. It constantly keeps you on your toes. Watch it.,work art constantly keeps toes watch,work art constantly keep toe watch,neutral
1122,"""I caught a bouquet from a bitch I never met.""",caught bouquet bitch never met,caught bouquet bitch never met,neutral
1123,"If not for some music choices early on that sounded royalty free, some on the nose dialogue throughout, & an inane dragged out third act with a lackluster denouement & ending that had me leaving the theatre unmoved, this could’ve been my favorite of the year behind The Lighthouse. Obviously a great movie otherwise though! Phenomenal performances across the board, an original gripping story with intriguing characters to boot, marvelous technical craft, fabulous pacing, an intricate blend of suspense & comedy that works both ways, & a fascinating examination of what it truly means to eat the rich in addition to human nature in the age of capitalism.",music choices early sounded royalty free nose dialogue throughout inane dragged third act lackluster denouement ending leaving theatre unmoved couldve favorite year behind lighthouse obviously great movie otherwise though phenomenal performances across board original gripping story intriguing characters boot marvelous technical craft fabulous pacing intricate blend suspense comedy works ways fascinating examination truly means eat rich addition human nature age capitalism,music choice early sounded royalty free nose dialogue throughout inane dragged third act lackluster denouement ending leaving theatre unmoved couldve favorite year behind lighthouse obviously great movie otherwise though phenomenal performance across board original gripping story intriguing character boot marvelous technical craft fabulous pacing intricate blend suspense comedy work way fascinating examination truly mean eat rich addition human nature age capitalism,positive
1124,"I didn’t really think anything was gonna pass Midsommar for me as my fav film of the year, especially with the extreme amount of hype I had for this film...but I was still blown away regardless.",didnt really think anything gon na pass midsommar fav film year especially extreme amount hype filmbut still blown away regardless,didnt really think anything gon na pas midsommar fav film year especially extreme amount hype filmbut still blown away regardless,negative
1125,"""Do it clockwise.""",clockwise,clockwise,neutral
1126,i was almost late for class after but that just added onto the adrenaline,almost late class added onto adrenaline,almost late class added onto adrenaline,negative
1127,"It is always exciting to see what the Frenchies decided was film of the year as it never fails to be a better pic than whatever the Hollywood circle-jerk showers with a bukkake of critical accolades come Springtime. Little did I expect Cannes Film Festival to award the prestigious Palme D’or this year to a director who has been one of my least favorite filmmakers...until now. Bong Joon-ho’s English film debut, 2013’s Snowpiercer, struck me as overrated and dumb while 2017’s Okja was cartoonish and ham-fisted. It didn’t help that he’d relegated two of my favorite actors, Tilda Swinton and Jake Gyllenhaal, to cringe-inducing career-low sideshow performers. Besides that, I just couldn’t vibe with his grotesque and bumbling concoction of family-friendly cuteness, ultra violence, and quirky humor. It reeked of trying too hard and failed to land with me at every turn. With that said, let me be the first and most surprised person to say with no reservations Parasite is easily one of the best movies I’ve seen this year.",always exciting see frenchies decided film year never fails better pic whatever hollywood circlejerk showers bukkake critical accolades come springtime little expect cannes film festival award prestigious palme dor year director one least favorite filmmakersuntil bong joonhos english film debut 2013s snowpiercer struck overrated dumb 2017s okja cartoonish hamfisted didnt help hed relegated two favorite actors tilda swinton jake gyllenhaal cringeinducing careerlow sideshow performers besides couldnt vibe grotesque bumbling concoction familyfriendly cuteness ultra violence quirky humor reeked trying hard failed land every turn said let first surprised person say reservations parasite easily one best movies ive seen year,always exciting see frenchies decided film year never fails better pic whatever hollywood circlejerk shower bukkake critical accolade come springtime little expect cannes film festival award prestigious palme dor year director one least favorite filmmakersuntil bong joonhos english film debut 2013s snowpiercer struck overrated dumb 2017s okja cartoonish hamfisted didnt help hed relegated two favorite actor tilda swinton jake gyllenhaal cringeinducing careerlow sideshow performer besides couldnt vibe grotesque bumbling concoction familyfriendly cuteness ultra violence quirky humor reeked trying hard failed land every turn said let first surprised person say reservation parasite easily one best movie ive seen year,positive
1128,"PARASITE is like a ticking bomb. From the very beginning you can feel a sense of chaos coming but it's never too obvious. But then, a twist happens and you can feel the explosion right in your face and it is just marvelous to behold. The way it contrasts the parallels between poverty and wealthy. Between family and complete strangers. Between what's important to some may not be to others. This a riveting movie. Truly the film of the year.",parasite like ticking bomb beginning feel sense chaos coming never obvious twist happens feel explosion right face marvelous behold way contrasts parallels poverty wealthy family complete strangers whats important may others riveting movie truly film year,parasite like ticking bomb beginning feel sense chaos coming never obvious twist happens feel explosion right face marvelous behold way contrast parallel poverty wealthy family complete stranger whats important may others riveting movie truly film year,positive
1129,"A goddamn riot, but probably Joon-Ho’s least elegant work craft-wise. None of his observations regarding class warfare are particularly illuminating; it doesn’t help that the film is also formally monotonous. Joon-Ho does highlight the vertical hierarchy that quite literally puts the bourgeoisie at the top and the working class at the bottom, yet he never bothers following up on ideas he has previously teased at the onset. He milks his rudimentary understanding of class to the very last drop, incorporating it into the film’s form wholesale — just how many bird’s eye shots of poor people descending stairs must the viewer gawk at before they’re qualified to become the next Durkheim? Still a good time at the movies, but let’s stop pretending it’s deeper than your average satire.",goddamn riot probably joonhos least elegant work craftwise none observations regarding class warfare particularly illuminating doesnt help film also formally monotonous joonho highlight vertical hierarchy quite literally puts bourgeoisie top working class bottom yet never bothers following ideas previously teased onset milks rudimentary understanding class last drop incorporating films form wholesale many birds eye shots poor people descending stairs must viewer gawk theyre qualified become next durkheim still good time movies lets stop pretending deeper average satire,goddamn riot probably joonhos least elegant work craftwise none observation regarding class warfare particularly illuminating doesnt help film also formally monotonous joonho highlight vertical hierarchy quite literally put bourgeoisie top working class bottom yet never bother following idea previously teased onset milk rudimentary understanding class last drop incorporating film form wholesale many bird eye shot poor people descending stair must viewer gawk theyre qualified become next durkheim still good time movie let stop pretending deeper average satire,positive
1130,i am gonna lose my goddamn mind........ there's too much to unpack i am not sleeping tonight girlies!,gon na lose goddamn mind theres much unpack sleeping tonight girlies,gon na lose goddamn mind there much unpack sleeping tonight girlies,positive
1131,"The scene in which Da-Song sees the ""ghost"" is everything: to him and his family, it's supernatural horror; to our main characters and the ""ghost"" himself, it's a very real disgrace. Being a ghost is scarier than seeing a ghost. And anyone can become a ghost, no matter how qualified one is.",scene dasong sees ghost everything family supernatural horror main characters ghost real disgrace ghost scarier seeing ghost anyone become ghost matter qualified one,scene dasong see ghost everything family supernatural horror main character ghost real disgrace ghost scarier seeing ghost anyone become ghost matter qualified one,positive
1132,I N S A N E 🍑,n n e,n n e,neutral
1133,“You know what kind of plan never fails? No plan at all. No plan.” ⭐️,know kind plan never fails plan plan,know kind plan never fails plan plan,positive
1134,"Parasite is still a damn fantastic film! Everything about it is amazing. I love how it bends many genres, has a pretty original concept and a pretty big twist. I still don’t know what I think about the ending. Such a good film, and one of the rare films that actually deserved the best picture win at the Oscars.",parasite still damn fantastic film everything amazing love bends many genres pretty original concept pretty big twist still dont know think ending good film one rare films actually deserved best picture win oscars,parasite still damn fantastic film everything amazing love bend many genre pretty original concept pretty big twist still dont know think ending good film one rare film actually deserved best picture win oscar,positive
1135,My friends love this movie,friends love movie,friend love movie,positive
1136,R E S P E C T,r e p e c,r e p e c,neutral
1137,"November 4, 2019 marks a first for me: I watched a movie in theatres twice in a row, as in the screening I came for ended and I literally just couldn’t bring myself to leave the theatre. I had to watch the very next showing of the same film. That’s how remarkable Parasite is - it lives up to every bit of the hype generated by my fellow movie lovers around the world. I’d go so far as to call it the greatest film released in my adult life. This gush will do for now - tomorrow I’ll get up and log my second viewing with a longer reflection on the film. But definitely see it if you haven’t, and I concur with others - AVOID SPOILERS AND EVEN THE TRAILER! I went in 100% cold and it was the way to do it (that’s right - I’ve been liking your Parasite reviews without even reading them lol).",november 4 2019 marks first watched movie theatres twice row screening came ended literally couldnt bring leave theatre watch next showing film thats remarkable parasite lives every bit hype generated fellow movie lovers around world id go far call greatest film released adult life gush tomorrow ill get log second viewing longer reflection film definitely see havent concur others avoid spoilers even trailer went 100 cold way thats right ive liking parasite reviews without even reading lol,november 4 2019 mark first watched movie theatre twice row screening came ended literally couldnt bring leave theatre watch next showing film thats remarkable parasite life every bit hype generated fellow movie lover around world id go far call greatest film released adult life gush tomorrow ill get log second viewing longer reflection film definitely see havent concur others avoid spoiler even trailer went 100 cold way thats right ive liking parasite review without even reading lol,positive
1138,"An instance classic, instantly quotable and I instantly nutted when it ended",instance classic instantly quotable instantly nutted ended,instance classic instantly quotable instantly nutted ended,positive
1139,"Urgh. The nuclear hype over this movie is sickening. There must something in the water because hordes of people have been gripped by some Groupthink, hive-mind mass delusion. By any objective measure, Parasite is grossly overrated. Technically good, with decent cinematography and good acting, but apart from that, it's just dull, and (IMO) morally repugnant.",urgh nuclear hype movie sickening must something water hordes people gripped groupthink hivemind mass delusion objective measure parasite grossly overrated technically good decent cinematography good acting apart dull imo morally repugnant,urgh nuclear hype movie sickening must something water horde people gripped groupthink hivemind mass delusion objective measure parasite grossly overrated technically good decent cinematography good acting apart dull imo morally repugnant,positive
1140,A work of sheer genius from a filmmaker who never fails to make a deep impression on me.,work sheer genius filmmaker never fails make deep impression,work sheer genius filmmaker never fails make deep impression,positive
1141,I'm so glad i can watch movies,im glad watch movies,im glad watch movie,positive
1142,I had a class with a guy who said that he loved this movie because it exposed the true evil of communism 😕,class guy said loved movie exposed true evil communism,class guy said loved movie exposed true evil communism,positive
1143,"oh my god. this film is so beautifully made and the story of the film is really really good. i can see why this movie gets such high ratings. its funny, shocking, tense and bloody all at once which is absolutely amazing.",oh god film beautifully made story film really really good see movie gets high ratings funny shocking tense bloody absolutely amazing,oh god film beautifully made story film really really good see movie get high rating funny shocking tense bloody absolutely amazing,positive
1144,"""Ki-woo, you know what kind of plan never fails? No plan at all. No plan. You know why? If you make a plan, life never works out that way.""",kiwoo know kind plan never fails plan plan know make plan life never works way,kiwoo know kind plan never fails plan plan know make plan life never work way,positive
1145,gag of the century right here...,gag century right,gag century right,positive
1146,And almost 4 years later... this still slaps🔥,almost 4 years later still slaps,almost 4 year later still slap,neutral
1147,"This is what I call a ""note-takin' movie."" I have some attention issues, so I feel like I don't catch things some times, which is why I really did take notes! In a notebook! Like school!",call notetakin movie attention issues feel like dont catch things times really take notes notebook like school,call notetakin movie attention issue feel like dont catch thing time really take note notebook like school,positive
1148,"If you think Korea doesn't have beautiful products, watch this and you'll change your mind",think korea doesnt beautiful products watch youll change mind,think korea doesnt beautiful product watch youll change mind,positive
1149,"the second act, holy shit. i completely understand the hype",second act holy shit completely understand hype,second act holy shit completely understand hype,negative
1150,eat some peaches and kill the riches!!,eat peaches kill riches,eat peach kill rich,positive
1151,if you’ve never swam in the ocean then of course a pool seems deep.,youve never swam ocean course pool seems deep,youve never swam ocean course pool seems deep,neutral
1152,"writing a review for parasite is kind of pointless.parasite speaks for itself.i think(and sorry if this will sound pretentious) that parasite is the citize kane of our generation.because in 70 years from now, every perfect aspect of parasite is going to be studied in film schools.every brilliant frame,every fantastic line of dialogue,every genius cut is going to be analysed to death.",writing review parasite kind pointlessparasite speaks itselfi thinkand sorry sound pretentious parasite citize kane generationbecause 70 years every perfect aspect parasite going studied film schoolsevery brilliant frameevery fantastic line dialogueevery genius cut going analysed death,writing review parasite kind pointlessparasite speaks itselfi thinkand sorry sound pretentious parasite citize kane generationbecause 70 year every perfect aspect parasite going studied film schoolsevery brilliant frameevery fantastic line dialogueevery genius cut going analysed death,positive
1153,"“Even though he always seems about to cross the line, he never does cross it.”",even though always seems cross line never cross,even though always seems cross line never cross,neutral
1154,"Watching this again and I like it a lot more. It’s so incredibly clever and funny and yet so heartbreaking all at the same time. Even if I don’t like the oscars, I full heartedly believe that this movie deserved to win best picture. It’s an experience that’s different from any other movie I’ve ever seen. I still think people have kinda blown its amazing-ness a little bit out of proportion though. As someone who loves it, I feel like the people who REALLY love it are a tad annoying at times. But like, a hardcore group of stans are annoying, what else is new. But if I let the annoyance of a group of people get to me then I wouldn’t be a fan of a lot of movies and other franchises.",watching like lot incredibly clever funny yet heartbreaking time even dont like oscars full heartedly believe movie deserved win best picture experience thats different movie ive ever seen still think people kinda blown amazingness little bit proportion though someone loves feel like people really love tad annoying times like hardcore group stans annoying else new let annoyance group people get wouldnt fan lot movies franchises,watching like lot incredibly clever funny yet heartbreaking time even dont like oscar full heartedly believe movie deserved win best picture experience thats different movie ive ever seen still think people kinda blown amazingness little bit proportion though someone love feel like people really love tad annoying time like hardcore group stans annoying else new let annoyance group people get wouldnt fan lot movie franchise,positive
1155,"the girls sitting next to me at the cinema were gasping every 3 seconds, as they should",girls sitting next cinema gasping every 3 seconds,girl sitting next cinema gasping every 3 second,neutral
1156,"i have been crying for the past 30 minutes. after an excruciatingly long bus ride, steeped in anticipation, i raced home only to find out my tv had been a bitch and only recorded the first hour of the oscars. disappointed but not surprised. by the time best original screenplay rolled around, i was only half paying attention because, as much as i thought parasite deserved to win, i had zero faith that it would. and then they announced it. and when i tell you i broke down, i BROKE DOWN. the waterworks and all. each year, what i believe to be the best films of the year, slip through the cracks and don’t receive the recognition they deserve. it has reached the point where i have just about lost all faith in award shows. after downloading the screenplay days earlier, i had gained an even greater appreciation of the subtle nuances within it and, let me just say, never before had i seen a film so worthy win an award. i came to the end of the recording and, by this point had only seen five awards announced. after a whole day of hiding from spoilers being thrown around left and right on literally every social media site ever, i realised i would have to look up the winner for best picture. my heart was pounding, hands trembling. the stakes were so high because i love this film so much and it was so far above the competition it’s not even funny. instantly i was flooded with news headlines. PARASITE PARASITE PARASITE. this was history in the making right here. i had dragged my mum along to watch this in august having heard very little about it and, as the credits rolled, we were at a loss for words, silent on the car ride home simultaneously in awe and unable to comprehend what we had just watched. nothing i can say would do this film justice, i told my friends the only way they’d understand was to watch it themselves. DON’T LOOK ANYTHING UP, GO IN BLIND, BE PREPARED TO HAVE YOUR MIND BLOWN, is what i’d say. until then, all i could do was sit in silence with my mum being the only person i could vent to about the beauty of parasite. yesterday, i ran through the rain to the store just to swipe a parasite dvd and carried it with me my entire shift (perks of having no locker). why do i mention this? because i think it’s testament to how bloody brilliant this film is. (pun intended)",crying past 30 minutes excruciatingly long bus ride steeped anticipation raced home find tv bitch recorded first hour oscars disappointed surprised time best original screenplay rolled around half paying attention much thought parasite deserved win zero faith would announced tell broke broke waterworks year believe best films year slip cracks dont receive recognition deserve reached point lost faith award shows downloading screenplay days earlier gained even greater appreciation subtle nuances within let say never seen film worthy win award came end recording point seen five awards announced whole day hiding spoilers thrown around left right literally every social media site ever realised would look winner best picture heart pounding hands trembling stakes high love film much far competition even funny instantly flooded news headlines parasite parasite parasite history making right dragged mum along watch august heard little credits rolled loss words silent car ride home simultaneously awe unable comprehend watched nothing say would film justice told friends way theyd understand watch dont look anything go blind prepared mind blown id say could sit silence mum person could vent beauty parasite yesterday ran rain store swipe parasite dvd carried entire shift perks locker mention think testament bloody brilliant film pun intended,cry past 30 minute excruciatingly long bus ride steeped anticipation raced home find tv bitch recorded first hour oscar disappointed surprised time best original screenplay rolled around half paying attention much thought parasite deserved win zero faith would announced tell broke broke waterworks year believe best film year slip crack dont receive recognition deserve reached point lost faith award show downloading screenplay day earlier gained even greater appreciation subtle nuance within let say never seen film worthy win award came end recording point seen five award announced whole day hiding spoiler thrown around left right literally every social medium site ever realised would look winner best picture heart pounding hand trembling stake high love film much far competition even funny instantly flooded news headline parasite parasite parasite history making right dragged mum along watch august heard little credit rolled loss word silent car ride home simultaneously awe unable comprehend watched nothing say would film justice told friend way theyd understand watch dont look anything go blind prepared mind blown id say could sit silence mum person could vent beauty parasite yesterday ran rain store swipe parasite dvd carried entire shift perk locker mention think testament bloody brilliant film pun intended,positive
1157,"i caught a lot more of its subtleties - both narratively and stylistically - this time around since i didn’t have to work my brains off to understand french subtitles until i saw baguettes everywhere. LOVE IT. there’s an air of greatness to it from start to finish, like a greek myth. destiny and a cruel yet wise maestro behind the curtain. the halfway turn from black comedy to thriller is magnificent. only been a couple months since i saw it in cinemas and it is still as strikingly intense as then, so i will likely rewatch it here and there in the future.",caught lot subtleties narratively stylistically time around since didnt work brains understand french subtitles saw baguettes everywhere love theres air greatness start finish like greek myth destiny cruel yet wise maestro behind curtain halfway turn black comedy thriller magnificent couple months since saw cinemas still strikingly intense likely rewatch future,caught lot subtlety narratively stylistically time around since didnt work brain understand french subtitle saw baguette everywhere love there air greatness start finish like greek myth destiny cruel yet wise maestro behind curtain halfway turn black comedy thriller magnificent couple month since saw cinema still strikingly intense likely rewatch future,positive
1158,"Okay... y'all were right. This movie is exceptional. I'm not sure what I was expecting, but it definitely wasn't this. Tight plotting and excellent build up to a tense and unexpected third act... but consistently funny and somehow charming too! Brilliant in its simplicity and small scale. Completely impressed by this entire production.",okay yall right movie exceptional im sure expecting definitely wasnt tight plotting excellent build tense unexpected third act consistently funny somehow charming brilliant simplicity small scale completely impressed entire production,okay yall right movie exceptional im sure expecting definitely wasnt tight plotting excellent build tense unexpected third act consistently funny somehow charming brilliant simplicity small scale completely impressed entire production,positive
1159,How could you not give this 5 stars. Like what more could you want in a movie?,could give 5 stars like could want movie,could give 5 star like could want movie,neutral
1160,“If I had all this I would be kinder.”,would kinder,would kinder,neutral
1161,"it’s all very metaphorical, isn’t it. a capitalist horror show. can’t wait to rewatch.",metaphorical isnt capitalist horror show cant wait rewatch,metaphorical isnt capitalist horror show cant wait rewatch,neutral
1162,Two personally recommended house staff? That's possible. Three personally recommended house staff? There's an outside chance. But four personally recommended house staff? I'd like to see that!,two personally recommended house staff thats possible three personally recommended house staff theres outside chance four personally recommended house staff id like see,two personally recommended house staff thats possible three personally recommended house staff there outside chance four personally recommended house staff id like see,neutral
1163,"""People who ride the subway have a special smell.""",people ride subway special smell,people ride subway special smell,positive
1164,I had such high expectations for this film considering the hype and Bong Joon-Ho smashes it out of the fucking park with Parasite. My only regret is not going in as blind as possible about it.,high expectations film considering hype bong joonho smashes fucking park parasite regret going blind possible,high expectation film considering hype bong joonho smash fucking park parasite regret going blind possible,negative
1165,this film...literally THIS film...what’s new?,filmliterally filmwhats new,filmliterally filmwhats new,positive
1166,[chanting] eat the rich,chanting eat rich,chanting eat rich,positive
1167,"You can read hundreds of reviews for this movie heaping it with praise, saying it’s amazing and it still can’t prepare you for just how fucking good this is.",read hundreds reviews movie heaping praise saying amazing still cant prepare fucking good,read hundred review movie heaping praise saying amazing still cant prepare fucking good,positive
1168,"ADDED TO ""2019 RANKED"" :)",added 2019 ranked,added 2019 ranked,neutral
1169,"for some reason this time around (watch #5) i picked up on SO many little details that seal the deal that this such a groundbreaking all-timer. i know it’s rated extremely highly but if any film deserves it, it’s parasite. i always forget how amazing it is.",reason time around watch 5 picked many little details seal deal groundbreaking alltimer know rated extremely highly film deserves parasite always forget amazing,reason time around watch 5 picked many little detail seal deal groundbreaking alltimer know rated extremely highly film deserves parasite always forget amazing,positive
